Notes,Scores,Evidence
Video,2,detailed video but too long https://www.youtube.com/watch?v=NBihyIU13pw 
"Workload is spread over the whole team (one team member is often Xtimes more productive than the others but nevertheless, here is a track record that everyone is contributing a lot) ",3,Workload spread with good amount of commits from each team member
Number of commits,3,566 commits from the previous group
Number of commits: by different people,3,in gh
Issues reports: there are many,2,17 issues created
Issues are being closed,3,3 open issues
DOI badge: exists,3,
"Docs: doco generated, format not ugly",3,Doc generated with all necessary parts explained
Docs: what: point descriptions of each class/function (in isolation),3,in gh pages
"Docs: how: for common use cases X,Y,Z mini-tutorials showing worked examples on how to do X,Y,Z",3,in gh
"Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing",1,"Info on use, but not motivation"
"Docs: short video, animated, hosted on your repo. That convinces people why they want to work on your code.",1,No separate video on the same
Use of version control tools,3,github used
Use of style checkers,3,https://github.com/secheaper/slashbot/blob/main/pylintrc
Use of code formatters.,3,https://github.com/secheaper/slashbot/blob/main/pylintrc
Use of syntax checkers.,3,https://github.com/secheaper/slashbot/blob/main/pylintrc
Use of code coverage,2,55%
Other automated analysis tools,3,codecov and pylint used
Test cases exist,3,in gh
Test cases are routinely executed,0,github actions show no workflow runs
The files CONTRIBUTING.md lists coding standards and lots of tips on how to extend the system without screwing things up,3,contains details on deployment and bug report
Issues are discussed before they are closed,1,minimal discussion
Chat channel: exists,0,no chat channel on the repo
Test cases: a large proportion of the issues related to handling failing cases.,2,4 bugs fixed
Evidence that the whole team is using the same tools: everyone can get to all tools and files,3,in gh
"Evidence that the whole team is using the same tools (e.g. config files in the repo, updated by lots of different people)",3,equal no. of commits
"Evidence that the whole team is using the same tools (e.g. tutor can ask anyone to share screen, they demonstrate the system running on their computer)",3,same API_TOKEN
Evidence that the members of the team are working across multiple places in the code base,3,in gh
Short release cycles,2,yes
"Does your website and documentation provide a clear, high-level overview of your software?",3,in gh
Does your website and documentation clearly describe the type of user who should use your software?,0,not mentioned
Do you publish case studies to show how your software has been used by yourself and others?,3,in gh
Is the name of your project/software unique?,3,in gh
Is your project/software name free from trademark violations?,3,checked on tess
Is your software available as a package that can be deployed without building it?,0,NA
Is your software available for free?,3,Yes
"Is your source code publicly available to download, either as a downloadable bundle or via access to a source code repository?",3,Yes
"Is your software hosted in an established, third-party repository likeGitHub (https://github.com), BitBucket (https://bitbucket.org),LaunchPad (https://launchpad.net) or SourceForge (https://sourceforge.net)?",3,in gh
Is your documentation clearly available on your website or within your software?,3,in gh
"Does your documentation include a ""quick start"" guide, that provides a short overview of how to use your software with some basic examples of use?",3,in gh
"If you provide more extensive documentation, does this provide clear, step-by-step instructions on how to deploy and use your software?",3,in gh
"Do you provide a comprehensive guide to all your software’s commands, functions and options?",1,in gh pages
Do you provide troubleshooting information that describes the symptoms and step-by-step solutions for problems and error messages?,0,NA
"If your software can be used as a library, package or service by other software, do you provide comprehensive API documentation?",3,used as a bot
Do you store your documentation under revision control with your source code?,3,updated with commits
"Do you publish your release history e.g. release data, version numbers, key features of each release etc. on your web site or in your documentation?",0,NA
"Does your website and documentation describe what support, if any, you provide to users and developers?",0,
Does your project have an e-mail address or forum that is solely for supporting users?,3,in gh
Are e-mails to your support e-mail address received by more than one person?,0,
Does your project have a ticketing system to manage bug reports and feature requests?,3,in gh
"Is your project's ticketing system publicly visible to your users, so they can view bug reports and feature requests?",3,in gh
Is your software’s architecture and design modular?,2,minimal dependancy but low resuability
Does your software use an accepted coding standard or convention?,3,in gh
Does your software allow data to be imported and exported using open data formats?,0,No
Does your software allow communications using open communications protocols?,3,use of mime/tcp
Is your software cross-platform compatible?,3,used in ios/android
Does your software adhere to appropriate accessibility conventions or standards?,1,no use of alt texts or html semantics
Does your documentation adhere to appropriate accessibility conventions or standards?,3,pylint
Is your source code stored in a repository under revision control?,3,in gh
Is each source code release a snapshot of the repository?,2,in gh
Are releases tagged in the repository?,2,in gh
"Is there a branch of the repository that is always stable? (i.e. tests always pass, code always builds successfully)",3,in gh
Do you back-up your repository?,3,
Do you provide publicly-available instructions for building your software from the source code?,3,in gh
"Can you build, or package, your software using an automated tool?",0,
Do you provide publicly-available instructions for deploying your software?,3,in gh
Does your documentation list all third-party dependencies?,0,
Does your documentation list the version number for all third-party dependencies?,0,
"Does your software list the web address, and licences for all third-party dependencies and say whether the dependencies are mandatory or optional?",0,
Can you download dependencies using a dependency management tool or package manager?,0,
Do you have tests that can be run after your software has been built or deployed to show whether the build or deployment has been successful?,0,in gh
Do you have an automated test suite for your software?,0,
Do you have a framework to periodically (e.g. nightly) run your tests on the latest version of the source code?,0,
"Do you use continuous integration, automatically running tests whenever changes are made to your source code?",0,
Are your test results publicly visible?,2,in gh
Are all manually-run tests documented?,1,in gh
"Does your project have resources (e.g. blog, Twitter, RSS feed, Facebook page, wiki, mailing list) that are regularly updated with information about your software?",0,
Does your website state how many projects and users are associated with your project?,1,
Do you provide success stories on your website?,0,
Do you list your important partners and collaborators on your website,3,
Do you list your project's publications on your website or link to a resource where these are available?,0,
Do you list third-party publications that refer to your software on your website or link to a resource where these are available?,0,
Can users subscribe to notifications to changes to your source code repository?,3,
"If your software is developed as an open source project (and, not just a project developing open source software), do you have a governance model?",0,
"Do you accept contributions (e.g. bug fixes, enhancements, documentation updates, tutorials) from people who are not part of your project?",0,
Do you have a contributions policy?,3,
Is your contributions' policy publicly available?,3,
Do contributors keep the copyright/IP of their contributions?,0,
Does your website and documentation clearly state the copyright owners of your software and documentation?,0,
Does each of your source code files include a copyright statement?,0,
Does your website and documentation clearly state the licence of your software?,3,
Is your software released under an open source licence?,3,
Is your software released under an OSI-approved open-source licence?,3,
Does each of your source code files include a licence header?,0,
Do you have a recommended citation for your software?,0,
"Does your website or documentation include a project roadmap (a list of project and development milestones for the next 3, 6 and 12 months)?",1,only one feature
"Does your website or documentation describe how your project is funded, and the period over which funding is guaranteed?",0,
"Do you make timely announcements of the deprecation of components, APIs, etc.?",0,
,176,
