,,,,
, ,165.5,,
,Notes,Score,Evidence,
,Video,3,"2min video of new functionality, showing a significant delta from prior.",
,"Workload is spread over the whole team (one team member is often Xtimes more productive than the others but nevertheless, here is a track record that everyone is contributing a lot) ",1.5,evidence in GH,
,Number of commits,3,in GH (90 for previous group),
,Number of commits: by different people,3,in GH,
,Issues reports: there are many,2,35,
,Issues are being closed,3,evidence in GH (31),
,DOI badge: exists,3,,
,"Docs: doco generated, format not ugly",1,"in GH (Not generated, md files, ugly)",
,Docs: what: point descriptions of each class/function (in isolation),2,Yes,
,"Docs: how: for common use cases X,Y,Z mini-tutorials showing worked examples on how to do X,Y,Z",2,Common uses in GH & Youtube video,
,"Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing",2,Yes,
,"Docs: short video, animated, hosted on your repo. That convinces people why they want to work on your code.",0,No,
,Use of version control tools,3,Yes,
,Use of style checkers,,Yes (config files in GH showing your config),
,Use of code formatters.,,Yes (config files in GH showing your this formatter's config),
,Use of syntax checkers.,3,Yes (config files in GH showing this checker's config),
,Use of code coverage,2,35% (For the frontend only),
,Other automated analysis tools,2,Codecov (for the frontend only),
,Test cases exist,3,dozens of tests and those test cases are more than 30% of the code base,
,Test cases are routinely executed,0,Github Workflows/Actions,
,The files CONTRIBUTING.md lists coding standards and lots of tips on how to extend the system without screwing things up,0,in GH,
,Issues are discussed before they are closed,3,"even if you discuss in slack, need a sumamry statement here",
,Chat channel: exists,0,Link or screenshots unavailable,
,Test cases: a large proportion of the issues related to handling failing cases.,2,"If a test case fails, open an issue and fix it",
,Evidence that the whole team is using the same tools: everyone can get to all tools and files,3,config files in GH (dependencies etc),
,"Evidence that the whole team is using the same tools (e.g. config files in the repo, updated by lots of different people)",3,https://github.com/ashakhatri007/WolfJobs/blob/master/.eslintrc.json,
,"Evidence that the whole team is using the same tools (e.g. tutor can ask anyone to share screen, they demonstrate the system running on their computer)",3,https://github.com/ashakhatri007/WolfJobs/blob/master/.eslintrc.json,
,Evidence that the members of the team are working across multiple places in the code base,3,commits in GH,
,Short release cycles,2,(hard to see in short projects) project members are committing often enough so that everyone can get your work,
,"Does your website and documentation provide a clear, high-level overview of your software?",3,Documentation and video,
,Does your website and documentation clearly describe the type of user who should use your software?,3,Video and docs,
,Do you publish case studies to show how your software has been used by yourself and others?,0,in GH,
,Is the name of your project/software unique?,3,Self-assessment,
,Is your project/software name free from trademark violations?,2,Very likely,
,Is your software available as a package that can be deployed without building it?,3,MERN app,
,Is your software available for free?,3,GH,
,"Is your source code publicly available to download, either as a downloadable bundle or via access to a source code repository?",3,GH,
,"Is your software hosted in an established, third-party repository likeGitHub (https://github.com), BitBucket (https://bitbucket.org),LaunchPad (https://launchpad.net) or SourceForge (https://sourceforge.net)?",3,GH Repo,
,Is your documentation clearly available on your website or within your software?,0,"Available in the repo, not the software or website",
,"Does your documentation include a ""quick start"" guide, that provides a short overview of how to use your software with some basic examples of use?",3,Readme.md,
,"If you provide more extensive documentation, does this provide clear, step-by-step instructions on how to deploy and use your software?",2,Readme.md,
,"Do you provide a comprehensive guide to all your software’s commands, functions and options?",2,,
,Do you provide troubleshooting information that describes the symptoms and step-by-step solutions for problems and error messages?,0,in GH,
,"If your software can be used as a library, package or service by other software, do you provide comprehensive API documentation?",1,,
,Do you store your documentation under revision control with your source code?,0,in GH,
,"Do you publish your release history e.g. release data, version numbers, key features of each release etc. on your web site or in your documentation?",0,in GH,
,"Does your website and documentation describe what support, if any, you provide to users and developers?",0,in GH,
,Does your project have an e-mail address or forum that is solely for supporting users?,0,in GH,
,Are e-mails to your support e-mail address received by more than one person?,0,in GH,
,Does your project have a ticketing system to manage bug reports and feature requests?,3,github projects (classic),
,"Is your project's ticketing system publicly visible to your users, so they can view bug reports and feature requests?",3,github projects (classic),
,Is your software’s architecture and design modular?,1,"partially, not to mention separate backend repo",
,Does your software use an accepted coding standard or convention?,3,https://github.com/ashakhatri007/WolfJobs/blob/master/.eslintrc.json,
,Does your software allow data to be imported and exported using open data formats?,0,in GH,
,Does your software allow communications using open communications protocols?,2,in GH,
,Is your software cross-platform compatible?,3,web-app (can be accessed in browsers of any smart device),
,Does your software adhere to appropriate accessibility conventions or standards?,3,,
,Does your documentation adhere to appropriate accessibility conventions or standards?,2,,
,Is your source code stored in a repository under revision control?,0,in GH,
,Is each source code release a snapshot of the repository?,0,in GH,
,Are releases tagged in the repository?,3,GH,
,"Is there a branch of the repository that is always stable? (i.e. tests always pass, code always builds successfully)",1,"Test case exist, but code does not run (dependencies deprecated)",
,Do you back-up your repository?,3,https://zenodo.org/record/5717272,
,Do you provide publicly-available instructions for building your software from the source code?,3,Standard webapp running instructions (no need to build yet),
,"Can you build, or package, your software using an automated tool?",1,,
,Do you provide publicly-available instructions for deploying your software?,0,in GH,
,Does your documentation list all third-party dependencies?,0,in GH,
,Does your documentation list the version number for all third-party dependencies?,0,in GH,
,"Does your software list the web address, and licences for all third-party dependencies and say whether the dependencies are mandatory or optional?",0,in GH,
,Can you download dependencies using a dependency management tool or package manager?,3,,
,Do you have tests that can be run after your software has been built or deployed to show whether the build or deployment has been successful?,3,,
,Do you have an automated test suite for your software?,3,,
,Do you have a framework to periodically (e.g. nightly) run your tests on the latest version of the source code?,0,in GH,
,"Do you use continuous integration, automatically running tests whenever changes are made to your source code?",0,in GH,
,Are your test results publicly visible?,0,in GH,
,Are all manually-run tests documented?,0,in GH,
