,Notes,Score,evidence
,Video,3,"2min video of new functionality, showing a significant delta from prior."
,"Workload is spread over the whole team (one team member is often Xtimes more productive than the others but nevertheless, here is a track record that everyone is contributing a lot) ",3,evidence in GH
,Number of commits,3,in GH (90 for previous group)
,Number of commits: by different people,3,in GH
,Issues reports: there are many,3,29 issues reported
,Issues are being closed,1,evidence in GH
,DOI badge: exists,3,in GH
,"Docs: doco generated, format not ugly",3,in GH
,Docs: what: point descriptions of each class/function (in isolation),3,in gh
,"Docs: how: for common use cases X,Y,Z mini-tutorials showing worked examples on how to do X,Y,Z",3,doc page entries
,"Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing",2,in gh
,"Docs: short video, animated, hosted on your repo. That convinces people why they want to work on your code.",3,in gh
,Use of version control tools,3,in gh
,Use of style checkers,3,config files in GH showing your config
,Use of code formatters.,3,config files in GH showing your this formatter's config
,Use of syntax checkers.,3,config files iin GH showing this checker's config
,Use of code coverage,1,55%
,Other automated analysis tools,3,codecov and pylint
,Test cases exist,3,dozens of tests and those test cases are more than 30% of the code base
,Test cases are routinely executed,3,E.g. travis-com.com or github actions or something
,The files CONTRIBUTING.md lists coding standards and lots of tips on how to extend the system without screwing things up,1,Not much details on contribution
,Issues are discussed before they are closed,2,"even if you discuss in slack, need a sumamry statement here"
,Chat channel: exists,0,Link or screenshots
,Test cases: a large proportion of the issues related to handling failing cases.,2,"If a test case fails, open an issue and fix it"
,Evidence that the whole team is using the same tools: everyone can get to all tools and files,3,in gh - pylint
,"Evidence that the whole team is using the same tools (e.g. config files in the repo, updated by lots of different people)",3,in gh
,"Evidence that the whole team is using the same tools (e.g. tutor can ask anyone to share screen, they demonstrate the system running on their computer)",3,in gh
,Evidence that the members of the team are working across multiple places in the code base,3,commits
,Short release cycles,3,(hard to see in short projects) project members are committing often enough so that everyone can get your work
,"Does your website and documentation provide a clear, high-level overview of your software?",3,
,Does your website and documentation clearly describe the type of user who should use your software?,3,
,Do you publish case studies to show how your software has been used by yourself and others?,3,
,Is the name of your project/software unique?,1,
,Is your project/software name free from trademark violations?,3,checked via tess
,Is your software available as a package that can be deployed without building it?,1,"deployed, not working'"
,Is your software available for free?,3,
,"Is your source code publicly available to download, either as a downloadable bundle or via access to a source code repository?",3,
,"Is your software hosted in an established, third-party repository likeGitHub (https://github.com), BitBucket (https://bitbucket.org),LaunchPad (https://launchpad.net) or SourceForge (https://sourceforge.net)?",3,
,Is your documentation clearly available on your website or within your software?,3,
,"Does your documentation include a ""quick start"" guide, that provides a short overview of how to use your software with some basic examples of use?",2,"examples of use, no quickstart"
,"If you provide more extensive documentation, does this provide clear, step-by-step instructions on how to deploy and use your software?",3,
,"Do you provide a comprehensive guide to all your software’s commands, functions and options?",3,
,Do you provide troubleshooting information that describes the symptoms and step-by-step solutions for problems and error messages?,0,
,"If your software can be used as a library, package or service by other software, do you provide comprehensive API documentation?",1,used as a site; not working
,Do you store your documentation under revision control with your source code?,3,in gh
